Stk name,Mkt Price,Mkt Cap,Price chg compared to 1 Jan 2026,Sector
"METIS TECHBIO CO., LTD.",17.27HKD,2.54B,-,Other Biotechnology & Medical Research
METROPOLIS CAPITAL HOLDINGS LIMITED,0.0400HKD,4.9M,60.00%,Other Consumer Lending
MEXAN LIMITED,0.0540HKD,13.8M,-67.27%,Hotels & Motels
MGM CHINA HOLDINGS LIMITED,10.37HKD,5.07B,-20.90%,Other Casinos & Gaming
MI MING MART HOLDINGS LIMITED,0.1040HKD,14.87M,-14.75%,Beauty Supply Shop
MICROPORT CARDIOFLOW MEDTECH CORPORATION,1.700HKD,288M,-71.90%,Medical Devices & Implants
MICROPORT NEUROSCIENTIFIC CORPORATION,8.670HKD,655M,-20.31%,Medical Devices & Implants
MICROPORT SCIENTIFIC CORPORATION,7.520HKD,1.91B,-30.50%,Other Advanced Medical Equipment & Technology
"MICROTECH MEDICAL (HANGZHOU) CO., LTD.",7.580HKD,405M,-4.41%,Medical Equipment
MICROWARE GROUP LIMITED,1.500HKD,51.7M,10.29%,Other IT Services & Consulting
MIDEA REAL ESTATE HOLDING LIMITED,2.920HKD,544M,-28.78%,Other Real Estate Development & Operations
MIDLAND HOLDINGS LIMITED,2.570HKD,236M,11.74%,Residential Real Estate Services
MIE HOLDINGS CORPORATION,0.0270HKD,12.1M,0.00%,Oil Exploration & Production - Onshore
MIGAO GROUP HOLDINGS LIMITED,8.800USD,1.02B,10.00%,Fertilizer
MIKO INTERNATIONAL HOLDINGS LIMITED,1.220HKD,36.15M,-59.47%,Children & Infants Clothing
MILAN STATION HOLDINGS LIMITED,0.1030HKD,13.9M,-38.69%,Jewelry & Watch Retailers
MILLENNIUM PACIFIC GROUP HOLDINGS LIMITED,0.7400HKD,19.57M,-12.94%,Other Electronic Equipment & Parts
MILLION CITIES HOLDINGS LIMITED,0.9200HKD,88.07M,174.63%,Residential Real Estate Development
MILLION HOPE INDUSTRIES HOLDINGS LIMITED,0.4550HKD,23.43M,-1.09%,Building Contractors
MIN FU INTERNATIONAL HOLDING LIMITED,1.000HKD,3.81M,11.11%,Other Professional Information Services
MIN XIN HOLDINGS LIMITED,2.340HKD,178M,-35.71%,Other Life & Health Insurance
MINDTELL TECHNOLOGY LIMITED,0.7600HKD,46M,-46.10%,Other IT Services & Consulting
MINERVA GROUP HOLDING LIMITED,0.0400HKD,11.65M,-18.37%,Other Corporate Financial Services
MING FAI INTERNATIONAL HOLDINGS LIMITED,0.7800HKD,73.1M,-15.22%,Sanitary Products
MING YUAN CLOUD GROUP HOLDINGS LIMITED,1.780HKD,423M,-45.90%,Enterprise Software
MINGFA GROUP (INTERNATIONAL) COMPANY LIMITED,0.0930HKD,72.33M,-16.96%,Other Real Estate Development & Operations
"MINIEYE TECHNOLOGY CO., LTD",9.620HKD,513M,-31.63%,Automotive Systems
MINIMAX GROUP INC.,845.00HKD,34.03B,-,Machine Learning & Artificial Intelligence (AI) Services
MININGLAMP TECHNOLOGY,330.40HKD,6.05B,67.72%,Enterprise Software
MINSHANG CREATIVE TECHNOLOGY HOLDINGS LIMITED,0.0640HKD,7.79M,-41.82%,Quick Service Restaurants
MINSHENG EDUCATION GROUP COMPANY LIMITED,0.1200HKD,64.6M,-31.82%,"School, College & University (NEC)"
MINTH GROUP LIMITED,37.70HKD,5.9B,18.85%,Automotive Body Parts
"MIRAMAR HOTEL AND INVESTMENT COMPANY, LIMITED",10.62HKD,943M,4.63%,Other Real Estate Development & Operations
MIRICOR ENTERPRISES HOLDINGS LIMITED,0.7000HKD,35.74M,-26.32%,Personal Care Services
MIRXES HOLDING COMPANY LIMITED,12.41HKD,468M,-71.82%,Other Biotechnology & Medical Research
MIXUE GROUP,252.20HKD,12.45B,-38.46%,Other Restaurants & Bars
MMG LIMITED,8.830HKD,14.29B,0.68%,Other Specialty Mining & Metals
"MOBI DEVELOPMENT CO., LTD.",0.1740HKD,18.81M,31.82%,Satellite Communications Network
MOBICON GROUP LIMITED,0.4500HKD,11.49M,-19.64%,Other Electronic Equipment & Parts
MOBVISTA INC.,14.44HKD,2.74B,-5.50%,Advertising Agency
MOBVOI INC.,0.3850HKD,80.07M,-31.25%,Integrated Hardware & Software
