Stk name,Mkt Price,Mkt Cap,Price chg compared to 1 Jan 2026,Sector
160 HEALTH INTERNATIONAL LIMITED,16.46HKD,693M,-70.11%,Pharmaceuticals Wholesale
1957 & CO. (HOSPITALITY) LIMITED,0.2700HKD,13.23M,-34.15%,Commercial Food Services
360 LUDASHI HOLDINGS LIMITED,0.8200HKD,28.15M,-6.82%,Internet Gaming
361 DEGREES INTERNATIONAL LIMITED,4.950HKD,1.39B,-18.15%,Sports & Outdoor Footwear
3D MEDICINES INC.,3.220HKD,100M,-39.59%,Bio Therapeutic Drugs
3DG HOLDINGS (INTERNATIONAL) LIMITED,0.4800HKD,16.52M,-7.69%,Jewelry & Watch Retailers
3SBIO INC.,19.20HKD,6.06B,-20.55%,Biopharmaceuticals
5100 XIZANG GLACIER COMPANY LIMITED,0.4900HKD,348M,-14.04%,Other Non-Alcoholic Beverages
7ROAD HOLDINGS LIMITED,0.6000HKD,217M,22.45%,Internet Gaming
A & S GROUP (HOLDINGS) LIMITED,0.1430HKD,16.59M,44.44%,Freight Logistics
A METAVERSE COMPANY,0.0600HKD,16.48M,-.--%,Other Textiles & Leather Goods
"A-LIVING SMART CITY SERVICES CO., LTD.",2.400HKD,440M,5.26%,Other Real Estate Services
A.PLUS GROUP HOLDINGS LIMITED,0.2300HKD,11.74M,1.32%,Other Commercial Printing Services
AAC TECHNOLOGIES HOLDINGS INC.,43.22HKD,6.17B,11.23%,Electronic Component
"AB&B BIO-TECH CO., LTD. JS",29.32HKD,1.47B,-27.14%,Biopharmaceuticals
ABBISKO CAYMAN LIMITED,10.16HKD,908M,-21.91%,Bio Therapeutic Drugs
ABC MULTIACTIVE LIMITED,0.0810HKD,6.2M,1.25%,Financial Technology (Fintech) (NEC)
ABLE ENGINEERING HOLDINGS LIMITED,0.5900HKD,151M,-13.24%,Other Construction & Engineering
ACCEL GROUP HOLDINGS LIMITED,1.760HKD,179M,-2.22%,Building Contractors
ACESO LIFE SCIENCE GROUP LIMITED,0.1090HKD,124M,-2.68%,Heavy Machinery & Vehicles Wholesale
ACME INTERNATIONAL HOLDINGS LIMITED,0.4700HKD,62.97M,-11.32%,Construction Machinery
ACOTEC SCIENTIFIC HOLDINGS LIMITED,9.700HKD,371M,-27.48%,Medical Equipment
ACTIVATION GROUP HOLDINGS LIMITED,0.9200HKD,89.35M,-13.21%,Other Leisure & Recreation
ADICON HOLDINGS LIMITED,4.620HKD,415M,9.22%,Medical & Diagnostic Laboratories
ADTIGER CORPORATIONS LIMITED,0.1800HKD,20.59M,12.50%,Advertising Agency
AEON CREDIT SERVICE (ASIA) COMPANY LIMITED,8.610HKD,461M,18.92%,Consumer Credit Cards Services
"AEON STORES (HONG KONG) CO., LIMITED",0.2700HKD,9.13M,-31.65%,Retail - Department Stores
AESO HOLDING LIMITED,0.1750HKD,5.36M,32.58%,Other Construction & Engineering
AGILE GROUP HOLDINGS LIMITED,0.2160HKD,145M,-20.00%,Other Real Estate Development & Operations
AGRICULTURAL BANK OF CHINA LIMITED,5.940HKD,329B,2.60%,Commercial Banks
AGTECH HOLDINGS LIMITED,0.6900HKD,1.03B,243.28%,Transaction & Payment Services
AHSAY BACKUP SOFTWARE DEVELOPMENT COMPANY LIMITED,0.0520HKD,14.04M,126.09%,Other Computer Hardware
AI ENERGY ENGINEERING HOLDINGS LIMITED,1.310HKD,49.28M,-34.50%,Other Construction & Engineering
AI HEALTH TECHNOLOGY LIMITED,0.4900HKD,22.56M,1.03%,Kitchen Appliances
AI X TECH INC.,0.2650HKD,38.72M,39.47%,Advertising Agency
AIA GROUP LIMITED,86.10HKD,113B,7.76%,Other Life & Health Insurance
AIDIGONG MATERNAL & CHILD HEALTH LIMITED,1.310HKD,32.13M,-.--%,Other Healthcare Facilities & Services
"AIM VACCINE CO., LTD.",2.400HKD,376M,-25.23%,Biopharmaceuticals
"AINNOVATION TECHNOLOGY GROUP CO., LTD",4.560HKD,327M,-19.29%,Enterprise Software
AIR CHINA LIMITED,4.740HKD,15.39B,-32.81%,Other Airlines
AJISEN (CHINA) HOLDINGS LIMITED,0.9800HKD,134M,13.95%,Other Restaurants & Bars
AK MEDICAL HOLDINGS LIMITED,5.950HKD,871M,4.39%,Medical Devices & Implants
"AKESO, INC.",116.70HKD,14.11B,3.45%,Bio Therapeutic Drugs
ALCO HOLDINGS LIMITED,0.6300HKD,4.61M,-77.34%,Other Computer Hardware
ALIBABA HEALTH INFORMATION TECHNOLOGY LIMITED,3.850HKD,7.94B,-23.56%,Other Drug Retailers
ALLAN INTERNATIONAL HOLDINGS LIMITED,0.5000HKD,21.25M,-7.41%,"Other Appliances, Tools & Housewares"
ALLEGRO CULTURE LIMITED,1.600HKD,94.19M,1233.33%,Advertising Agency
ALLIANCE INTERNATIONAL EDUCATION LEASING HOLDINGS LIMITED,0.1550HKD,32.37M,-14.36%,Commercial Leasing
ALLIED GROUP LIMITED,2.370HKD,1.07B,3.49%,Other Consumer Lending
ALLIED SUSTAINABILITY AND ENVIRONMENTAL CONSULTANTS GROUP LIMITED,0.0960HKD,9.45M,-12.73%,Environmental Consultancy Services
ALLTRONICS HOLDINGS LIMITED,0.7400HKD,44.08M,10.45%,Electronic Component
ALPHA PROFESSIONAL HOLDINGS LIMITED,0.2340HKD,12.31M,11.43%,Food Wholesale
ALPHAMAB ONCOLOGY,9.350HKD,1.09B,-4.59%,Other Biotechnology & Medical Research
"ALSCO POOLING SERVICE CO., LTD.",3.900HKD,44.97M,-,Freight Logistics
ALTUS HOLDINGS LIMITED,0.1160HKD,12.35M,10.48%,Other Real Estate Development & Operations
ALUMINUM CORPORATION OF CHINA LIMITED,10.88HKD,26.39B,-10.52%,Other Aluminum
AM GROUP HOLDINGS LIMITED,0.0500HKD,5.11M,-.--%,Other Advertising & Marketing
AMASSE CAPITAL HOLDINGS LIMITED,0.1090HKD,21.41M,-19.26%,Other Corporate Financial Services
AMCO UNITED HOLDING LIMITED,0.2800HKD,34.58M,12.00%,Medical Equipment
AMS PUBLIC TRANSPORT HOLDINGS LIMITED,0.4300HKD,14.92M,-6.52%,"Other Passenger Transportation, Ground & Sea"
AMUSE GROUP HOLDING LIMITED,0.0400HKD,6.09M,2.56%,Toys & Juvenile Products Wholesale
ANALOGUE HOLDINGS LIMITED,0.9800HKD,173M,6.52%,Other Construction & Engineering
ANCHORSTONE HOLDINGS LIMITED,0.3350HKD,58.21M,132.39%,Construction Material Processing
ANGANG STEEL COMPANY LIMITED,1.350HKD,2.6B,-28.57%,Other Steel
ANGELALIGN TECHNOLOGY INC.,72.30HKD,1.6B,21.31%,Medical Prosthetics
"ANHUI CONCH MATERIAL TECHNOLOGY CO., LTD.",1.550HKD,128M,-8.82%,Construction Material Processing
"ANHUI JINYAN KAOLIN NEW MATERIALS CO., LTD.",3.760HKD,49.25M,-17.36%,Other Specialty Mining & Metals
ANTA SPORTS PRODUCTS LIMITED,75.15HKD,27.13B,-6.77%,Sportswear & Outdoors Clothing
ANTENGENE CORPORATION LIMITED,4.500HKD,395M,18.47%,Bio Therapeutic Drugs
ANTON OILFIELD SERVICES GROUP,1.090HKD,381M,36.25%,Other Oil Related Services and Equipment
ANXIAN YUAN CHINA HOLDINGS LIMITED,0.1350HKD,37.43M,14.41%,Funeral Services
AOM INTERNATIONAL GROUP COMPANY LIMITED,0.1240HKD,18.57M,-42.33%,Dolls & Stuffed Toys
AOWEI HOLDING LIMITED,0.2370HKD,49.47M,-28.18%,Iron Ore Mining
AP RENTALS HOLDINGS LIMITED,0.1690HKD,17.98M,8.33%,Industrial Machinery & Equipment Wholesale
APAC RESOURCES LIMITED,2.280HKD,423M,-0.87%,Metal Merchant Wholesale
APEX ACE HOLDING LIMITED,0.8800HKD,108M,109.52%,Electrical Component
APOLLO FUTURE MOBILITY GROUP LIMITED,0.4850HKD,69.16M,-29.71%,Other Auto & Truck Manufacturers
"APT ELECTRONICS CO., LTD.",2.330CNY,160M,-17.96%,Other Electronic Equipment & Parts
APT SATELLITE HOLDINGS LIMITED,3.270HKD,379M,17.63%,Satellite Service Operators
ARCHOSAUR GAMES INC.,2.270HKD,223M,40.99%,Internet Gaming
ARES ASIA LIMITED,0.1870HKD,12.25M,52.03%,Coal Wholesale
ARRAIL GROUP LIMITED,1.830HKD,131M,-.--%,Other Healthcare Facilities & Services
ART GROUP HOLDINGS LIMITED,2.930HKD,1.01B,110.79%,Other Real Estate Development & Operations
ARTA TECHFIN CORPORATION LIMITED,0.4850HKD,86.38M,-16.38%,Brokerage Services
ARTGO HOLDINGS LIMITED,0.0890HKD,16.15M,-44.03%,Other Construction Materials
ARTINI HOLDINGS LIMITED,0.3150HKD,53.22M,-18.18%,E-commerce & Auction Services
ARTS OPTICAL INTERNATIONAL HOLDINGS LIMITED,0.7300HKD,35.99M,-23.16%,"Glasses, Spectacles & Contact Lenses"
ASCENTAGE PHARMA GROUP INTERNATIONAL,41.64HKD,1.96B,-20.31%,Bio Therapeutic Drugs
ASCLETIS PHARMA INC.,15.61HKD,2.11B,37.05%,Biopharmaceuticals
ASIA ALLIED INFRASTRUCTURE HOLDINGS LIMITED,0.4450HKD,104M,2.30%,Other Construction & Engineering
ASIA CASSAVA RESOURCES HOLDINGS LIMITED,0.1900HKD,14.18M,-26.92%,Food Wholesale
ASIA CEMENT (CHINA) HOLDINGS CORPORATION,2.080HKD,416M,-11.49%,Cement & Concrete Manufacturing
ASIA COMMERCIAL HOLDINGS LIMITED,0.2420HKD,23.07M,8.52%,Jewelry & Watch Retailers
ASIA ENERGY LOGISTICS GROUP LIMITED,0.3800HKD,96.75M,31.03%,Other Marine Freight & Logistics
ASIA FINANCIAL HOLDINGS LIMITED,4.700HKD,554M,-2.08%,Other Multiline Insurance & Brokers
ASIA GROCERY DISTRIBUTION LIMITED,0.0720HKD,10.68M,-60.87%,Other Food Retail & Distribution
ASIA ORIENT HOLDINGS LIMITED,0.2490HKD,26.72M,-14.14%,Other Investment Management & Fund Operators
ASIA PIONEER ENTERTAINMENT HOLDINGS LIMITED,0.1270HKD,16.21M,234.21%,Automatic Vending Machines
ASIA STANDARD INTERNATIONAL GROUP LIMITED,0.1920HKD,34.81M,-22.58%,Other Investment Management & Fund Operators
ASIA STRATEGY DIGIT TECHNOLOGY HOLDINGS LIMITED,2.600HKD,139M,-34.18%,Other Apparel & Accessories
ASIA TELE-NET AND TECHNOLOGY CORPORATION LIMITED,14.70HKD,711M,1447.37%,Other Semiconductors
ASIA TELEVISION HOLDINGS LIMITED,0.0600HKD,17.07M,-.--%,Other Textiles & Leather Goods
ASIA-EXPRESS LOGISTICS HOLDINGS LIMITED,0.1480HKD,9.97M,59.14%,Other Airport Services
ASIA-PAC FINANCIAL INVESTMENT COMPANY LIMITED,0.2850HKD,10.18M,145.69%,Other Professional Information Services
ASIAINFO TECHNOLOGIES LIMITED,5.490HKD,659M,-27.38%,Other Software
ASIAN CITRUS HOLDINGS LIMITED,1.900HKD,3.61M,14.46%,Fishing & Farming Wholesale
ASIARAY MEDIA GROUP LIMITED,0.7500HKD,45.77M,44.23%,Other Holding Companies
ASIASEC PROPERTIES LIMITED,0.1770HKD,28.02M,-1.67%,Other Real Estate Development & Operations
ASMPT LIMITED,184.60HKD,9.84B,138.35%,Other Semiconductor Equipment & Testing
ASSET CHAIN LIMITED,0.2330HKD,55.53M,-37.03%,Other Real Estate Development & Operations
ASSOCIATED INTERNATIONAL HOTELS LIMITED,5.250HKD,241M,1.94%,Other Real Estate Development & Operations
ASTRUM FINANCIAL HOLDINGS LIMITED,0.7000HKD,8.58M,52.17%,Other Investment Banking & Brokerage Services
ATLINKS GROUP LIMITED,0.2300HKD,11.74M,27.07%,Other Communications & Networking
"AUGROUP (SHENZHEN) CROSS-BORDER BUSINESS CO., LTD.",4.600CNY,242M,-24.22%,Home Furnishings Wholesale
"AUNTEA JENNY (SHANGHAI) INDUSTRIAL CO., LTD.",155.00HKD,2.08B,81.07%,Other Restaurants & Bars
AUSNUTRIA DAIRY CORPORATION LTD,1.340HKD,304M,-32.66%,Other Food Processing
AUSTAR LIFESCIENCES LIMITED,0.8000HKD,52.33M,-8.05%,"Other Medical Equipment, Supplies & Distribution"
AUSTASIA GROUP LTD.,1.930HKD,242M,-8.10%,Beef & Veal Farming
AUSUPREME INTERNATIONAL HOLDINGS LIMITED,0.3600HKD,35.01M,9.09%,Health Food Stores
AUTO ITALIA HOLDINGS LIMITED,0.3300HKD,259M,120.00%,Other Real Estate Development & Operations
AUTOMATED SYSTEMS HOLDINGS LIMITED,0.9400HKD,101M,18.99%,Other Computer Hardware
AUTOSTREETS DEVELOPMENT LIMITED,1.650USD,175M,-38.20%,Used Car Dealers
"AUX ELECTRIC CO., LTD.",10.33HKD,2.09B,-23.20%,"Heating, Ventilation & Air Conditioning Systems"
AUX INTERNATIONAL HOLDINGS LIMITED,0.3700HKD,23.28M,2.78%,Other Restaurants & Bars
AV CONCEPT HOLDINGS LIMITED,1.560HKD,180M,285.19%,Semiconductor Wholesale
AV PROMOTIONS HOLDINGS LIMITED,0.0760HKD,3.88M,18.75%,Other Advertising & Marketing
AVICHINA INDUSTRY & TECHNOLOGY COMPANY LIMITED,3.190HKD,3.25B,-19.65%,Aerospace & Defense Electronics
"AXERA SEMICONDUCTOR CO., LTD.",20.74HKD,1.56B,-,Integrated Circuits
B & S INTERNATIONAL HOLDINGS LTD.,0.5400HKD,27.57M,42.11%,Food Wholesale
B&K CORPORATION LIMITED,5.420HKD,57.43M,-66.48%,Bio Therapeutic Drugs
B.DUCK SEMK HOLDINGS INTERNATIONAL LIMITED,0.6100HKD,78.5M,-35.79%,Copyright Management
BAGUIO GREEN GROUP LIMITED,1.090HKD,57.73M,-5.22%,Cleaning Services
BAIC MOTOR CORPORATION LIMITED,1.190HKD,1.22B,-38.34%,Automobiles & Multi Utility Vehicles
BAIJIN LIFE SCIENCE HOLDINGS LIMITED,0.5000HKD,59.49M,-1.96%,Jewelry
BAIJUYI HOLDINGS GROUP LIMITED,0.0160HKD,10.53M,-11.11%,"Other Hotels, Motels & Cruise Lines"
BAIOO FAMILY INTERACTIVE LIMITED,0.5400HKD,198M,35.00%,Digital Media Agencies
BAIRONG INC.,5.930HKD,340M,-48.88%,Machine Learning & Artificial Intelligence (AI) Services
"BAIWANG CO., LTD.",11.50HKD,332M,-42.50%,Other IT Services & Consulting
BAIYING HOLDINGS GROUP LIMITED,0.8500HKD,29.29M,-.--%,Other Paper Packaging
"BAMA TEA CO., LTD.",23.48CNY,255M,-19.70%,Coffee & Tea
BAMBOOS HEALTH CARE HOLDINGS LIMITED,0.3800HKD,19.52M,-22.45%,Outsourcing & Staffing Services
BANK OF CHINA LIMITED,5.230HKD,262B,17.26%,Other Banks
"BANK OF CHONGQING CO., LTD.",8.200HKD,4.95B,4.46%,Commercial Banks
"BANK OF COMMUNICATIONS CO., LTD.",7.170HKD,84.16B,11.16%,Other Banks
"BANK OF GANSU CO., LTD.",0.3550HKD,683M,45.49%,Other Banks
"BANK OF GUIZHOU CO., LTD.",1.090HKD,2.03B,-8.40%,Commercial Banks
"BANK OF JIUJIANG CO., LTD.",2.320HKD,843M,35.67%,Commercial Banks
"BANK OF QINGDAO CO., LTD.",4.570HKD,4.28B,19.01%,Commercial Banks
"BANK OF TIANJIN CO., LTD.",2.280HKD,1.77B,-8.43%,Other Banks
"BANK OF ZHENGZHOU CO., LTD.",1.010HKD,2.1B,-12.17%,Commercial Banks
BAOYE GROUP COMPANY LIMITED,4.300HKD,286M,8.59%,Other Construction & Engineering
BAR PACIFIC GROUP HOLDINGS LIMITED,0.0360HKD,4.04M,-20.00%,Other Restaurants & Bars
BASETROPHY GROUP HOLDINGS LIMITED,1.630HKD,55.25M,-27.88%,Other Construction & Engineering
BASIC HOUSE NEW LIFE GROUP LIMITED,0.3750HKD,17.24M,36.36%,Residential Architectural & Interior Design Services
"BATELAB CO., LTD.",37.12CNY,298M,-13.67%,Other Semiconductors
BAUHAUS INTERNATIONAL (HOLDINGS) LIMITED,0.2500HKD,11.72M,-19.35%,Other Apparel & Accessories
BAWANG INTERNATIONAL (GROUP) HOLDING LIMITED,0.0280HKD,11.3M,-22.22%,Other Personal Products
BAYZED HEALTH GROUP INC,5.340HKD,899M,39.79%,"Hospitals, Clinics & Primary Care Services"
BBMG CORPORATION,0.7500HKD,2.29B,2.74%,Other Construction Materials
BBSB INTERNATIONAL LIMITED,0.5700HKD,36.37M,-,Civil Engineers & Architects
BE FRIENDS HOLDING LIMITED,0.9100HKD,163M,-21.55%,E-commerce & Auction Services
BEAUTIFUL LIFE GROUP HOLDINGS LIMITED,1.800HKD,39.69M,185.71%,Building Contractors
BEAUTY FARM MEDICAL AND HEALTH INDUSTRY INC.,19.73HKD,628M,-27.46%,Personal Care Services
"BEIJING 51WORLD DIGITAL TWIN TECHNOLOGY CO., LTD.",98.55HKD,5.21B,140.37%,Other Software
"BEIJING AIRDOC TECHNOLOGY CO., LTD.",10.72HKD,140M,-6.21%,Medical Software & Technology Services
BEIJING BEIDA JADE BIRD UNIVERSAL SCI-TECH COMPANY LIMITED,1.130HKD,218M,-0.88%,Metal Merchant Wholesale
"BEIJING BIOSTAR PHARMACEUTICALS CO., LTD.",4.350HKD,120M,-11.04%,Biopharmaceuticals
BEIJING CAPITAL INTERNATIONAL AIRPORT COMPANY LIMITED,1.800HKD,1.05B,-34.78%,Airport Operators
"BEIJING CAPITAL JIAYE PROPERTY SERVICES CO., LIMITED",2.480HKD,46.42M,-7.12%,Other Real Estate Services
"BEIJING CHUNLIZHENGDA MEDICAL INSTRUMENTS CO., LTD.",9.850HKD,825M,-33.71%,Medical Devices & Implants
"BEIJING DEEPZERO TECHNOLOGY CO., LTD.",-HKD,0,-,Other Advertising & Marketing
"BEIJING DIGITAL TELECOM CO., LTD.",0.4350HKD,49.21M,1.16%,Consumer Electronics Retailers
"BEIJING ENERGY INTERNATIONAL HOLDING CO., LTD.",1.000HKD,281M,-13.04%,Solar Electric Ultilities
BEIJING ENTERPRISES ENVIRONMENT GROUP LIMITED,0.5000HKD,95.74M,-1.96%,Other Renewable Energy Equipment & Services
BEIJING ENTERPRISES HOLDINGS LIMITED,31.44HKD,5.05B,-1.19%,Other Natural Gas Utilities
BEIJING ENTERPRISES URBAN RESOURCES GROUP LIMITED,0.4350HKD,197M,10.13%,"Waste Management, Disposal & Recycling Services"
BEIJING ENTERPRISES WATER GROUP LIMITED,2.800HKD,3.59B,13.82%,Water Supply & Irrigation Systems
BEIJING GAS BLUE SKY HOLDINGS LIMITED,0.0320HKD,92.85M,0.00%,Natural Gas Distribution
"BEIJING GEEKPLUS TECHNOLOGY CO., LTD.",17.75HKD,3.03B,-18.88%,Advanced Electronic Equipment
"BEIJING HAIZHI TECHNOLOGY GROUP CO., LTD.",62.90HKD,3.21B,-,Other IT Services & Consulting
BEIJING HEALTH (HOLDINGS) LIMITED,0.0660HKD,51.03M,3.12%,Other Healthcare Facilities & Services
BEIJING JINGKELONG COMPANY LIMITED,0.2850HKD,14.99M,-9.52%,Other Food Retail & Distribution
"BEIJING JINGNENG CLEAN ENERGY CO., LIMITED",2.180HKD,2.29B,-3.96%,Fossil Fuel IPPs
"BEIJING LUZHU BIOTECHNOLOGY CO., LTD.",19.50HKD,495M,-17.37%,Biopharmaceuticals
BEIJING MEDIA CORPORATION LIMITED,0.6300HKD,15.86M,23.53%,Other Advertising & Marketing
BEIJING NORTH STAR COMPANY LIMITED,0.7600HKD,781M,-1.30%,Other Real Estate Development & Operations
"BEIJING SAIMO TECHNOLOGY CO., LTD.",13.95HKD,237M,6.49%,Other Software
BEIJING SPORTS AND ENTERTAINMENT INDUSTRY GROUP LIMITED,0.0650HKD,11.68M,-31.58%,Commercial Buildings
BEIJING TONG REN TANG CHINESE MEDICINE COMPANY LIMITED,7.140HKD,763M,-15.60%,Other Pharmaceuticals
BEIJING UBOX ONLINE TECHNOLOGY CORP.,2.020HKD,255M,-17.55%,Vending Machine Providers
"BEIJING URBAN CONSTRUCTION DESIGN & DEVELOPMENT GROUP CO., LIMITED",1.220HKD,210M,-10.29%,Railway Construction
"BEIJING XUNZHONG COMMUNICATION TECHNOLOGY CO., LTD.",43.90HKD,171M,189.58%,Other Software
"BEIJING YUNJI TECHNOLOGY CO., LTD.",325.40HKD,2.9B,198.53%,Advanced Electronic Equipment
BEIJINGWEST INDUSTRIES INTERNATIONAL LIMITED,7.370HKD,1.22B,99.73%,"Other Auto, Truck & Motorcycle Parts"
BEISEN HOLDING LIMITED,3.390HKD,316M,-53.31%,Enterprise Software
BENG SOON MACHINERY HOLDINGS LIMITED,0.2110HKD,26.93M,6.57%,Other Construction & Engineering
BENQ BM HOLDING CAYMAN CORP.,3.140HKD,125M,-23.60%,"Hospitals, Clinics & Primary Care Services"
BEST FOOD HOLDING COMPANY LIMITED,0.8000HKD,161M,33.33%,Other Restaurants & Bars
BEST LINKING GROUP HOLDINGS LIMITED,1.250HKD,128M,101.61%,Ball & Roller Bearings
BEST MART 360 HOLDINGS LIMITED,1.710HKD,218M,-16.18%,Other Food Retail & Distribution
BEST PACIFIC INTERNATIONAL HOLDINGS LIMITED,2.780HKD,369M,-14.72%,Other Textiles & Leather Goods
BESUNYEN HOLDINGS COMPANY LIMITED,2.500HKD,39.01M,4.60%,Coffee & Tea
BETTERLIFE HOLDING LIMITED,0.2750HKD,21.85M,-36.05%,New Car Dealers
BEXCELLENT GROUP HOLDINGS LIMITED,0.3750HKD,25.51M,4.17%,Miscellaneous Educational Service Providers
BFB HEALTH LIMITED,0.7900HKD,126M,17.91%,Advertising Agency
BGMC INTERNATIONAL LIMITED,7.990HKD,81.86M,240.00%,Commercial Buildings
BHCC HOLDING LIMITED,0.2550HKD,26.03M,13.84%,Other Construction & Engineering
BII RAILWAY TRANSPORTATION TECHNOLOGY HOLDINGS COMPANY LIMITED,0.2950HKD,78.95M,-13.24%,Other IT Services & Consulting
BILLION INDUSTRIAL HOLDINGS LIMITED,4.890HKD,1.32B,-2.20%,Synthetic Fabrics
BINGO GROUP HOLDINGS LIMITED,3.490HKD,48.49M,-5.16%,Movie Theaters & Movie Products
BINHAI INVESTMENT COMPANY LIMITED,1.070HKD,187M,-9.32%,Other Oil & Gas Refining and Marketing
BINJIANG SERVICE GROUP CO. LTD.,25.62HKD,904M,7.83%,Residential Real Estate Services
"BIOCYTOGEN PHARMACEUTICALS (BEIJING) CO., LTD.",49.86CNY,5.87B,41.25%,Other Biotechnology & Medical Research
BIODLINK INTERNATIONAL COMPANY LIMITED,4.460HKD,440M,78.40%,Bio Therapeutic Drugs
BIOSINO BIO-TECHNOLOGY AND SCIENCE INCORPORATION,3.000HKD,55.4M,32.74%,Diagnostic & Testing Substances
BIOSYSEN LIMITED,0.1580HKD,24.06M,26.40%,"Other Hotels, Motels & Cruise Lines"
BITFIRE GROUP HOLDINGS LIMITED,2.270HKD,218M,-10.28%,Other Investment Management & Fund Operators
BITSTRAT HOLDINGS LIMITED,1.800HKD,99.93M,-5.76%,Other Advertising & Marketing
BLACK SESAME INTERNATIONAL HOLDING LIMITED,16.04HKD,1.46B,-16.80%,Integrated Circuits
BLOCKFIN HOLDINGS LIMITED,0.0560HKD,10.16M,-37.78%,Other Investment Management & Fund Operators
BLOKS GROUP LIMITED,57.45HKD,1.82B,-14.19%,"Games, Toys & Children Vehicles"
BLUE MOON GROUP HOLDINGS LIMITED,3.130HKD,2.33B,16.36%,Laundry Supplies
BLUE RIVER HOLDINGS LIMITED,0.0710HKD,9.43M,-40.83%,Other Marine Port Services
BOARDWARE INTELLIGENCE TECHNOLOGY LIMITED,1.550HKD,98.9M,-22.50%,Other IT Services & Consulting
BOC AVIATION LIMITED,77.50HKD,6.86B,6.46%,Commercial Leasing
BOC HONG KONG (HOLDINGS) LIMITED,48.16HKD,64.98B,22.17%,Other Banks
BOCOM INTERNATIONAL HOLDINGS COMPANY LIMITED,0.5000HKD,174M,42.86%,Other Investment Banking & Brokerage Services
BOE VARITRONIX LIMITED,4.990HKD,504M,-2.73%,Display Screens
BOER POWER HOLDINGS LIMITED,0.5500HKD,54.31M,107.55%,Other IT Services & Consulting
BOILL HEALTHCARE HOLDINGS LIMITED,0.0210HKD,3.64M,-.--%,Other Construction & Engineering
BOJUN EDUCATION COMPANY LIMITED,0.0960HKD,11.06M,-22.58%,Other Holding Companies
BOLTEK HOLDINGS LIMITED,0.2400HKD,24.5M,-4.00%,Civil Engineers & Architects
BONJOUR HOLDINGS LIMITED,0.0460HKD,11.01M,-61.02%,Beauty Supply Shop
BONNY INTERNATIONAL HOLDING LIMITED,0.4750HKD,89.18M,1.06%,Other Apparel & Accessories
BOSA TECHNOLOGY HOLDINGS LIMITED,0.1320HKD,13.48M,-2.22%,Building Contractors
BOSIDENG INTERNATIONAL HOLDINGS LIMITED,4.170HKD,6.18B,-6.50%,Other Apparel & Accessories
BOYAA INTERACTIVE INTERNATIONAL LIMITED,2.550HKD,237M,-25.44%,Mobile Application Software
BRADAVERSE EDUCATION (INT'L) INVESTMENTS GROUP LIMITED,1.430HKD,111M,-5.30%,Other Computer Hardware
BRAINAURORA MEDICAL TECHNOLOGY LIMITED,2.940HKD,510M,-54.35%,Other Advanced Medical Equipment & Technology
BRAINHOLE TECHNOLOGY LIMITED,0.1900HKD,19.4M,-9.95%,Commercial Leasing
"BRETON TECHNOLOGY CO., LTD.",15.64HKD,482M,-42.67%,Other Heavy Machinery & Vehicles
BRIGHT FUTURE TECHNOLOGY HOLDINGS LIMITED,0.3000HKD,22.97M,-16.67%,Advertising Agency
BRIGHT SMART SECURITIES & COMMODITIES GROUP LIMITED,10.23HKD,2.22B,26.77%,Brokerage Services
"BRIGHTSTAR TECHNOLOGY GROUP CO., LTD.",0.1100HKD,15.79M,-5.98%,Commercial Equipment Rental
BRII BIOSCIENCES LIMITED,1.210HKD,111M,-14.18%,Bio Therapeutic Drugs
BRILLIANCE CHINA AUTOMOTIVE HOLDINGS LIMITED,2.780HKD,1.79B,-31.36%,Other Auto & Truck Manufacturers
BROCKMAN MINING LIMITED,0.0580HKD,68.69M,-34.83%,Iron Ore Mining
BRONCUS HOLDING CORPORATION,1.010HKD,67.94M,-57.56%,Medical Imaging Systems
BUDWEISER BREWING COMPANY APAC LIMITED,7.100HKD,11.98B,-6.46%,Other Brewers
BUILD KING HOLDINGS LIMITED,1.770HKD,281M,24.65%,Other Construction & Engineering
BUILDERS GROUP LIMITED,0.3750HKD,28.71M,8.70%,Other Construction & Engineering
"BUSY MING GROUP CO., LTD.",405.00HKD,11.26B,-,Food Wholesale
BUTONG GROUP,35.96HKD,416M,-63.31%,Other Toys & Juvenile Products
BUYANG INTERNATIONAL HOLDING INC,0.3800HKD,48.5M,31.03%,Automotive Accessories
BYD COMPANY LIMITED,91.60HKD,118B,-3.93%,Electric (Alternative) Vehicles
BYD ELECTRONIC (INTERNATIONAL) COMPANY LIMITED,26.30HKD,7.56B,-21.82%,Electronic Component
BYTE METAVERSE HOLDINGS LIMITED,0.3850HKD,37.17M,-38.89%,E-commerce & Auction Services
C C LAND HOLDINGS LIMITED,1.200HKD,595M,0.00%,Other Real Estate Development & Operations
C CHENG HOLDINGS LIMITED,0.7000HKD,38.63M,9.38%,Residential Architectural & Interior Design Services
C&D INTERNATIONAL INVESTMENT GROUP LIMITED,15.88HKD,4.54B,1.47%,Other Real Estate Development & Operations
C&D NEWIN PAPER & PULP CORPORATION LIMITED,0.5500HKD,99.29M,155.81%,Other Paper Products
C&D PROPERTY MANAGEMENT GROUP CO. LIMITED,2.910HKD,523M,7.78%,Residential Real Estate Services
C&N HOLDINGS LIMITED,0.1120HKD,2.38M,-0.88%,Freight Logistics
C-LINK SQUARED LIMITED,0.3000HKD,110M,17.65%,Other Software
